Company,Grad,Early,Mid,Late,num_Jobs,,company,Category,Compensation,helper
Amazon,159304.6956,200537.9196,243235.2475,328993.3036,6958,,Amazon,Grad,159304.6956,1
Microsoft,164352.8278,181437.9816,215511.1752,292788.9814,4535,,Amazon,Early,200537.9196,2
Google,182786.0616,244512.1083,305758.5207,421316.4319,3814,,Amazon,Mid,243235.2475,3
Facebook,193573.3496,280416.953,373834.065,512158.831,2701,,Amazon,Late,328993.3036,4
Apple,180963.6752,243554.5171,285602.7228,362962.3568,1944,,Microsoft,Grad,164352.8278,5
Oracle,171868.2171,191767.3469,241863.806,280426.9406,956,,Microsoft,Early,181437.9816,6
Salesforce,177394.2308,213788.2883,258024.2857,344410.1942,946,,Microsoft,Mid,215511.1752,7
Intel,134140,140419.8473,173492.4925,246771.261,859,,Microsoft,Late,292788.9814,8
Cisco,127269.8413,164818.1818,200688.9764,273629.9694,790,,Google,Grad,182786.0616,9
Uber,177602.7397,257430.5556,352296.875,473455.3991,761,,Google,Early,244512.1083,10
Capital One,109606.0606,132078.4884,161551.3514,225637.5839,753,,Google,Mid,305758.5207,11
IBM,107782.6087,124553.1136,149608.6957,204171.4286,712,,Google,Late,421316.4319,12
LinkedIn,202573.0337,265581.6733,342367.893,466938.5475,690,,Facebook,Grad,193573.3496,13
VMware,154880,189974.359,221951.5419,301358.7444,569,,Facebook,Early,280416.953,14
Qualcomm,137971.831,148692.8105,194580.6452,269057.1429,524,,Facebook,Mid,373834.065,15
Bloomberg,167598.0769,204498.6842,247218.75,303268.8172,480,,Facebook,Late,512158.831,16
Intuit,141086.2069,193546.0993,242482.2695,302806.2016,410,,Apple,Grad,180963.6752,17
JPMorgan Chase,95653.06122,128615.3846,153470.5882,212127.451,401,,Apple,Early,243554.5171,18
PayPal,138324.3243,180257.3529,242478.8732,318899.1597,376,,Apple,Mid,285602.7228,19
Twitter,189795.4545,271725.3521,356487.3418,436536.0825,365,,Apple,Late,362962.3568,20
Nvidia,180157.8947,208743.8017,275351.3514,352050.5051,349,,Oracle,Grad,171868.2171,21
Goldman Sachs,126950,158821.8391,212806.8182,306516.129,345,,Oracle,Early,191767.3469,22
eBay,148840,184773.5849,230238.806,303581.9672,333,,Oracle,Mid,241863.806,23
Wayfair,111954.5455,155484.375,221975.6098,337481.4815,324,,Oracle,Late,280426.9406,24
Deloitte,84040,110306.1224,153047.2441,192236.8421,323,,Salesforce,Grad,177394.2308,25
Lyft,230888.8889,315685.1852,385098.1595,475084.3373,319,,Salesforce,Early,213788.2883,26
Adobe,185520,207418.1818,239884.8921,304192.3077,314,,Salesforce,Mid,258024.2857,27
Walmart Labs,130387.0968,195444.4444,243276.4228,303309.7345,313,,Salesforce,Late,344410.1942,28
Expedia,135645.8333,156588.2353,182295.9184,233340.6593,277,,Intel,Grad,134140,29
Accenture,83000,119761.3636,163362.6374,178891.5663,274,,Intel,Early,140419.8473,30
Netflix,356000,409500,461405.4054,522795.6204,266,,Intel,Mid,173492.4925,31
Dropbox,188705.8824,264584.4156,338579.8319,438505.7471,249,,Intel,Late,246771.261,32
Workday,139142.8571,182594.0594,249903.6145,298314.2857,236,,Cisco,Grad,127269.8413,33
Airbnb,235952.381,307942.5287,386902.6549,484178.5714,224,,Cisco,Early,164818.1818,34
