company,Category,Compensation,Type
Amazon,Grad (0-1 years),159304.6956,FAANG
Amazon,Early (2-5 years),200537.9196,FAANG
Amazon,Mid (5-10 years),243235.2475,FAANG
Amazon,Late (10+ years),328993.3036,FAANG
Microsoft,Grad (0-1 years),164352.8278,Other
Microsoft,Early (2-5 years),181437.9816,Other
Microsoft,Mid (5-10 years),215511.1752,Other
Microsoft,Late (10+ years),292788.9814,Other
Google,Grad (0-1 years),182786.0616,FAANG
Google,Early (2-5 years),244512.1083,FAANG
Google,Mid (5-10 years),305758.5207,FAANG
Google,Late (10+ years),421316.4319,FAANG
Facebook,Grad (0-1 years),193573.3496,FAANG
Facebook,Early (2-5 years),280416.953,FAANG
Facebook,Mid (5-10 years),373834.065,FAANG
Facebook,Late (10+ years),512158.831,FAANG
Apple,Grad (0-1 years),180963.6752,FAANG
Apple,Early (2-5 years),243554.5171,FAANG
Apple,Mid (5-10 years),285602.7228,FAANG
Apple,Late (10+ years),362962.3568,FAANG
Oracle,Grad (0-1 years),171868.2171,Other
Oracle,Early (2-5 years),191767.3469,Other
Oracle,Mid (5-10 years),241863.806,Other
Oracle,Late (10+ years),280426.9406,Other
Salesforce,Grad (0-1 years),177394.2308,Other
Salesforce,Early (2-5 years),213788.2883,Other
Salesforce,Mid (5-10 years),258024.2857,Other
Salesforce,Late (10+ years),344410.1942,Other
Intel,Grad (0-1 years),134140,Other
Intel,Early (2-5 years),140419.8473,Other
Intel,Mid (5-10 years),173492.4925,Other
Intel,Late (10+ years),246771.261,Other
Cisco,Grad (0-1 years),127269.8413,Other
Cisco,Early (2-5 years),164818.1818,Other
Cisco,Mid (5-10 years),200688.9764,Other
Cisco,Late (10+ years),273629.9694,Other
Uber,Grad (0-1 years),177602.7397,Other
Uber,Early (2-5 years),257430.5556,Other
Uber,Mid (5-10 years),352296.875,Other
Uber,Late (10+ years),473455.3991,Other
Capital One,Grad (0-1 years),109606.0606,Other
Capital One,Early (2-5 years),132078.4884,Other
Capital One,Mid (5-10 years),161551.3514,Other
Capital One,Late (10+ years),225637.5839,Other
IBM,Grad (0-1 years),107782.6087,Other
IBM,Early (2-5 years),124553.1136,Other
IBM,Mid (5-10 years),149608.6957,Other
IBM,Late (10+ years),204171.4286,Other
LinkedIn,Grad (0-1 years),202573.0337,Other
LinkedIn,Early (2-5 years),265581.6733,Other
LinkedIn,Mid (5-10 years),342367.893,Other
LinkedIn,Late (10+ years),466938.5475,Other
VMware,Grad (0-1 years),154880,Other
VMware,Early (2-5 years),189974.359,Other
VMware,Mid (5-10 years),221951.5419,Other
VMware,Late (10+ years),301358.7444,Other
Qualcomm,Grad (0-1 years),137971.831,Other
Qualcomm,Early (2-5 years),148692.8105,Other
Qualcomm,Mid (5-10 years),194580.6452,Other
Qualcomm,Late (10+ years),269057.1429,Other
Bloomberg,Grad (0-1 years),167598.0769,Other
Bloomberg,Early (2-5 years),204498.6842,Other
Bloomberg,Mid (5-10 years),247218.75,Other
Bloomberg,Late (10+ years),303268.8172,Other
Intuit,Grad (0-1 years),141086.2069,Other
Intuit,Early (2-5 years),193546.0993,Other
Intuit,Mid (5-10 years),242482.2695,Other
Intuit,Late (10+ years),302806.2016,Other
JPMorgan Chase,Grad (0-1 years),95653.06122,Other
JPMorgan Chase,Early (2-5 years),128615.3846,Other
JPMorgan Chase,Mid (5-10 years),153470.5882,Other
JPMorgan Chase,Late (10+ years),212127.451,Other
PayPal,Grad (0-1 years),138324.3243,Other
PayPal,Early (2-5 years),180257.3529,Other
PayPal,Mid (5-10 years),242478.8732,Other
PayPal,Late (10+ years),318899.1597,Other
Twitter,Grad (0-1 years),189795.4545,Other
Twitter,Early (2-5 years),271725.3521,Other
Twitter,Mid (5-10 years),356487.3418,Other
Twitter,Late (10+ years),436536.0825,Other
Nvidia,Grad (0-1 years),180157.8947,Other
Nvidia,Early (2-5 years),208743.8017,Other
Nvidia,Mid (5-10 years),275351.3514,Other
Nvidia,Late (10+ years),352050.5051,Other
Goldman Sachs,Grad (0-1 years),126950,Other
Goldman Sachs,Early (2-5 years),158821.8391,Other
Goldman Sachs,Mid (5-10 years),212806.8182,Other
Goldman Sachs,Late (10+ years),306516.129,Other
eBay,Grad (0-1 years),148840,Other
eBay,Early (2-5 years),184773.5849,Other
eBay,Mid (5-10 years),230238.806,Other
eBay,Late (10+ years),303581.9672,Other
Wayfair,Grad (0-1 years),111954.5455,Other
Wayfair,Early (2-5 years),155484.375,Other
Wayfair,Mid (5-10 years),221975.6098,Other
Wayfair,Late (10+ years),337481.4815,Other
Deloitte,Grad (0-1 years),84040,Other
